Year,Date,Month,Species,ID,Tissue,Treatment,Tot.NSC,Starch,Tot.Sug,Suc,Gluc.Fruc
2012,2012-03-14,3,PIED,23,twig,CC,9.070623901,3.952086481,5.11853742,2.291945496,2.826591924
2012,2012-03-14,3,PIED,25,leaf,H,8.976519199,4.192157131,4.784362068,0.419492373,4.364869695
2012,2012-03-14,3,PIED,25,twig,H,8.968207023,5.280443251,3.687763772,0.680546057,3.007217715
2012,2012-03-14,3,PIED,26,leaf,H,12.08010813,4.717944901,7.362163224,1.049749831,6.312413393
2012,2012-03-14,3,PIED,26,twig,H,12.10138398,6.497878649,5.603505327,2.912150892,2.691354435
2012,2012-03-14,3,PIED,27,leaf,A,9.468537948,2.683311652,6.785226296,0.322418458,6.462807839
2012,2012-03-14,3,PIED,27,twig,A,8.766087779,4.354194019,4.41189376,1.849291173,2.562602588
2012,2012-03-14,3,PIED,28,leaf,A,9.118238079,3.246497381,5.871740698,0.623415995,5.248324704
2012,2012-03-14,3,PIED,28,twig,A,7.973125643,4.512813373,3.46031227,1.066107165,2.394205105
2012,2012-03-14,3,PIED,29,leaf,H,9.560216375,3.592651655,5.96756472,0.172443259,5.795121461
2012,2012-03-14,3,PIED,29,twig,H,10.22355033,6.057946542,4.165603791,2.061422568,2.104181224
2012,2012-03-14,3,PIED,3,leaf,HD,9.925245706,3.326527252,6.598718454,0.19667322,6.402045234
2012,2012-03-14,3,PIED,3,twig,HD,10.86867118,4.819270513,6.049400667,1.329869675,4.719530993
2012,2012-03-14,3,PIED,30,leaf,A,9.921873391,3.842139071,6.07973432,0.521607235,5.558127084
2012,2012-03-14,3,PIED,30,twig,A,10.08461955,5.407590497,4.677029053,1.61181827,3.065210783
2012,2012-03-14,3,PIED,4,leaf,D,10.46161329,4.201830789,6.259782496,0.36508579,5.894696706
2012,2012-03-14,3,PIED,4,twig,D,8.968159455,5.505152373,3.463007082,0.958360871,2.504646211
2012,2012-03-14,3,PIED,5,leaf,D,7.145848883,2.26263021,4.883218674,0.472206168,4.411012506
2012,2012-03-14,3,PIED,5,twig,D,9.078329299,5.04233541,4.035993889,1.540880214,2.495113675
2012,2012-03-14,3,PIED,7,leaf,HD,7.906172477,1.871233881,6.034938597,0,6.034938597
2012,2012-03-14,3,PIED,7,twig,HD,7.401644028,3.525768605,3.875875423,1.236519825,2.639355598
2012,2012-06-26,6,JUMO,101,bole,A,0.429043587,0.032899687,0.3961439,0.277819813,0.118324088
2012,2012-06-26,6,JUMO,101,leaf,A,NA,NA,NA,NA,1.383040173
2012,2012-06-26,6,JUMO,101,root,A,2.384462354,0,2.384462354,0.843304348,1.541158006
2012,2012-06-26,6,JUMO,101,twig,A,2.295360386,0.507749527,1.78761086,0.880886644,0.906724216
