Date,Year,Species,ID,Ypd
2002-03-07,2002,JUMO,1,-2.475
2002-04-08,2002,JUMO,1,-2.675
2002-05-15,2002,JUMO,1,-4.275
2002-06-18,2002,JUMO,1,-4.65
2002-07-24,2002,JUMO,1,-4.275
2002-08-21,2002,JUMO,1,-4
2002-09-18,2002,JUMO,1,-1.4
2002-10-16,2002,JUMO,1,-1.9
2002-11-06,2002,JUMO,1,-1.9
2002-12-11,2002,JUMO,1,-1.675
2003-01-08,2003,JUMO,1,-1.825
2003-02-05,2003,JUMO,1,-2.1
2003-03-12,2003,JUMO,1,-0.9
2003-04-10,2003,JUMO,1,-0.85
2003-04-30,2003,JUMO,1,-0.975
2003-05-29,2003,JUMO,1,-1.1
2003-06-29,2003,JUMO,1,-1.625
2003-07-23,2003,JUMO,1,-2.475
2003-08-21,2003,JUMO,1,-1.675
2003-09-17,2003,JUMO,1,-1.3
2003-10-21,2003,JUMO,1,-1.225
2003-11-19,2003,JUMO,1,-1.75
2003-12-18,2003,JUMO,1,-2.65
2004-01-22,2004,JUMO,1,-2.35
2004-02-20,2004,JUMO,1,-1.425
2004-03-17,2004,JUMO,1,-0.575
2004-04-14,2004,JUMO,1,-0.625
2004-05-14,2004,JUMO,1,-0.75
2004-05-25,2004,JUMO,1,-0.825
2004-06-28,2004,JUMO,1,-1.175
2004-09-22,2004,JUMO,1,-1.2
2004-10-14,2004,JUMO,1,-0.45
2004-11-17,2004,JUMO,1,-0.85
2004-12-16,2004,JUMO,1,-1.125
2005-02-03,2005,JUMO,1,-1.225
2005-03-02,2005,JUMO,1,-0.85
2005-04-07,2005,JUMO,1,-0.525
2005-05-19,2005,JUMO,1,-0.475
2005-06-22,2005,JUMO,1,-0.75
2005-07-27,2005,JUMO,1,-1
2005-08-24,2005,JUMO,1,-0.525
2005-10-05,2005,JUMO,1,-0.5
2005-12-01,2005,JUMO,1,-1.575
2006-01-13,2006,JUMO,1,-1.575
2006-02-09,2006,JUMO,1,-1.55
2006-03-08,2006,JUMO,1,-0.925
2006-04-12,2006,JUMO,1,-0.95
2006-05-18,2006,JUMO,1,-1.6
2006-06-12,2006,JUMO,1,-2.45
2006-07-11,2006,JUMO,1,-0.625
2006-08-14,2006,JUMO,1,-0.575
2006-09-22,2006,JUMO,1,-0.7
2006-10-19,2006,JUMO,1,-0.9
2006-11-16,2006,JUMO,1,-1.7
2006-12-14,2006,JUMO,1,-1.55
2007-01-17,2007,JUMO,1,-1.85
2007-02-13,2007,JUMO,1,-1.225
2007-03-15,2007,JUMO,1,-0.575
2007-04-18,2007,JUMO,1,-0.575
2007-05-23,2007,JUMO,1,-0.625
2007-06-27,2007,JUMO,1,-2.3
2007-07-25,2007,JUMO,1,-3.35
2007-08-23,2007,JUMO,1,-2.925
2007-09-27,2007,JUMO,1,
2007-10-25,2007,JUMO,1,-2.9
2007-11-20,2007,JUMO,1,-3.3
2007-12-20,2007,JUMO,1,-3.075
2008-02-12,2008,JUMO,1,-3.7
2008-03-19,2008,JUMO,1,-1.2
2008-04-23,2008,JUMO,1,-0.575
2008-05-21,2008,JUMO,1,-0.7
2008-06-25,2008,JUMO,1,-1.225
2008-07-30,2008,JUMO,1,-2
2008-08-28,2008,JUMO,1,-0.625
2008-10-03,2008,JUMO,1,-2
2008-10-31,2008,JUMO,1,-1.1
2008-12-01,2008,JUMO,1,-1.6
2009-01-22,2009,JUMO,1,-1.175
2009-03-11,2009,JUMO,1,-0.975
2009-05-06,2009,JUMO,1,-0.64
2009-07-24,2009,JUMO,1,-1.925
2009-08-19,2009,JUMO,1,-1.15
2009-09-11,2009,JUMO,1,-2.06
2009-10-15,2009,JUMO,1,-0.95
2009-12-18,2009,JUMO,1,-3.42
2010-01-26,2010,JUMO,1,-2.035
2010-03-18,2010,JUMO,1,-0.965
2010-04-21,2010,JUMO,1,-0.855
2010-05-19,2010,JUMO,1,-0.66
2010-06-16,2010,JUMO,1,-1.725
2010-07-28,2010,JUMO,1,-1.05
2010-08-25,2010,JUMO,1,-1.14
2010-09-29,2010,JUMO,1,-0.825
2010-10-20,2010,JUMO,1,-2.925
2010-11-17,2010,JUMO,1,-2.9
2010-12-22,2010,JUMO,1,-1.51
2011-01-26,2011,JUMO,1,-2.18
2011-02-24,2011,JUMO,1,-0.92
2011-03-23,2011,JUMO,1,-1.805
2011-04-28,2011,JUMO,1,-3.44
2011-05-25,2011,JUMO,1,-4.905
2011-07-14,2011,JUMO,1,-6.27
2011-08-03,2011,JUMO,1,-0.95
2011-08-29,2011,JUMO,1,-0.82
2011-09-29,2011,JUMO,1,-0.96
2011-10-24,2011,JUMO,1,-0.775
2011-12-02,2011,JUMO,1,-2.035
2012-02-07,2012,JUMO,1,-0.91
2012-02-28,2012,JUMO,1,-0.6
2012-03-28,2012,JUMO,1,-0.565
2012-04-27,2012,JUMO,1,-0.945
2012-05-30,2012,JUMO,1,-2.69
2012-06-20,2012,JUMO,1,-4.09
2012-07-19,2012,JUMO,1,-4.85
2012-08-21,2012,JUMO,1,-3.975
2012-09-19,2012,JUMO,1,-2.005
1992-03-12,1992,JUMO,2,-1.1
1992-04-21,1992,JUMO,2,-0.55
1992-05-20,1992,JUMO,2,-0.85
1992-05-23,1992,JUMO,2,-0.6
1992-07-02,1992,JUMO,2,-1.3
1992-07-09,1992,JUMO,2,-1.3
1992-07-22,1992,JUMO,2,-1.5
1992-08-06,1992,JUMO,2,-1.5
1992-08-20,1992,JUMO,2,-0.9
1992-09-23,1992,JUMO,2,-1
1992-10-20,1992,JUMO,2,-1.7
1992-11-18,1992,JUMO,2,-1.25
1993-01-13,1993,JUMO,2,-2.25
1993-02-12,1993,JUMO,2,-1.15
1993-03-16,1993,JUMO,2,-1.05
1993-04-22,1993,JUMO,2,-0.8
1993-05-21,1993,JUMO,2,-0.7
1993-06-16,1993,JUMO,2,-0.95
1993-07-15,1993,JUMO,2,-1.2
1993-08-10,1993,JUMO,2,-1
1993-09-16,1993,JUMO,2,-0.5
1993-10-21,1993,JUMO,2,-1.55
1993-11-23,1993,JUMO,2,-1.25
1993-12-02,1993,JUMO,2,-2.2
1993-12-21,1993,JUMO,2,-3.25
1994-01-14,1994,JUMO,2,-3.45
1994-02-11,1994,JUMO,2,-2.4
1994-03-03,1994,JUMO,2,-0.85
1994-03-11,1994,JUMO,2,-0.85
1994-04-07,1994,JUMO,2,-0.8
1994-05-05,1994,JUMO,2,-0.725
1994-06-02,1994,JUMO,2,-0.7
1994-07-07,1994,JUMO,2,-2.75
1994-07-28,1994,JUMO,2,-1.675
1994-08-25,1994,JUMO,2,-0.925
1994-09-09,1994,JUMO,2,-0.8
1994-10-13,1994,JUMO,2,-2.35
1994-10-28,1994,JUMO,2,-0.925
1994-11-22,1994,JUMO,2,-1.65
1994-12-21,1994,JUMO,2,-1.375
1995-01-10,1995,JUMO,2,-1.3
1995-02-09,1995,JUMO,2,-1.125
1995-03-08,1995,JUMO,2,-1.225
1995-04-05,1995,JUMO,2,-0.575
1995-05-04,1995,JUMO,2,-0.6
1995-06-01,1995,JUMO,2,-0.6
1995-06-28,1995,JUMO,2,-0.8
1995-07-28,1995,JUMO,2,-1.05
1995-08-23,1995,JUMO,2,-0.75
1995-09-14,1995,JUMO,2,-0.75
1995-10-20,1995,JUMO,2,-1.65
1995-12-01,1995,JUMO,2,-2.35
1996-01-19,1996,JUMO,2,-3.05
1996-02-15,1996,JUMO,2,-0.875
1996-03-19,1996,JUMO,2,-1.6
1996-04-24,1996,JUMO,2,-3.05
1996-05-22,1996,JUMO,2,-4.05
1996-06-19,1996,JUMO,2,-1.15
1996-08-01,1996,JUMO,2,-0.925
1996-09-04,1996,JUMO,2,-1.975
1996-10-03,1996,JUMO,2,-1.075
1996-11-01,1996,JUMO,2,-1.1
1996-12-03,1996,JUMO,2,-2.225
1997-01-09,1997,JUMO,2,-2.55
1997-02-11,1997,JUMO,2,-1.575
1997-03-13,1997,JUMO,2,-0.9
1997-04-21,1997,JUMO,2,-0.575
1997-05-21,1997,JUMO,2,-0.65
1997-05-27,1997,JUMO,2,-0.575
1997-06-24,1997,JUMO,2,-0.975
1997-07-22,1997,JUMO,2,-1.125
1997-09-16,1997,JUMO,2,-0.65
1997-10-09,1997,JUMO,2,-0.95
1997-10-27,1997,JUMO,2,-1.775
1997-11-18,1997,JUMO,2,-2.575
1997-12-17,1997,JUMO,2,-3.65
1998-01-12,1998,JUMO,2,-2.425
1998-02-11,1998,JUMO,2,-1.65
1998-03-10,1998,JUMO,2,-1.1
1998-04-16,1998,JUMO,2,-1.35
1998-05-16,1998,JUMO,2,-1.175
1998-05-27,1998,JUMO,2,-2.35
1998-06-24,1998,JUMO,2,-3.25
1998-07-23,1998,JUMO,2,-0.775
1998-08-19,1998,JUMO,2,-0.825
1998-09-16,1998,JUMO,2,-2.5
1998-10-14,1998,JUMO,2,-2.175
1998-11-18,1998,JUMO,2,-0.975
1998-12-18,1998,JUMO,2,-1.55
1999-01-13,1999,JUMO,2,-1.675
1999-02-16,1999,JUMO,2,-1.775
1999-03-22,1999,JUMO,2,-0.825
1999-04-08,1999,JUMO,2,-1.05
1999-05-07,1999,JUMO,2,-0.775
1999-06-03,1999,JUMO,2,-0.875
1999-07-08,1999,JUMO,2,-1.675
1999-08-06,1999,JUMO,2,-0.975
1999-09-08,1999,JUMO,2,-1.375
1999-10-05,1999,JUMO,2,-1.75
1999-11-02,1999,JUMO,2,-2.025
1999-12-14,1999,JUMO,2,-2.75
2000-01-11,2000,JUMO,2,-3.7
2000-02-16,2000,JUMO,2,-1.9
2000-03-24,2000,JUMO,2,-1.65
2000-04-13,2000,JUMO,2,-1.475
2000-06-08,2000,JUMO,2,-2.425
2000-07-18,2000,JUMO,2,-3.775
2000-08-11,2000,JUMO,2,-1.025
2000-09-07,2000,JUMO,2,-1.625
2000-10-15,2000,JUMO,2,-1.025
2000-11-21,2000,JUMO,2,-1.4
2000-12-15,2000,JUMO,2,-1.575
2001-01-11,2001,JUMO,2,-1.775
2001-02-06,2001,JUMO,2,-1.625
2001-03-09,2001,JUMO,2,-0.675
2001-04-16,2001,JUMO,2,-0.65
2001-05-10,2001,JUMO,2,-0.725
2001-06-18,2001,JUMO,2,-1.075
2001-07-11,2001,JUMO,2,-1.575
2001-08-14,2001,JUMO,2,-1.475
2001-09-13,2001,JUMO,2,-2.85
2001-10-11,2001,JUMO,2,-3.35
2001-11-07,2001,JUMO,2,-3.75
2001-12-04,2001,JUMO,2,-2.95
2002-01-03,2002,JUMO,2,-3.05
2002-02-07,2002,JUMO,2,-4.125
2002-03-07,2002,JUMO,2,-2.075
2002-04-08,2002,JUMO,2,-3.3
2002-05-15,2002,JUMO,2,-4.475
2002-06-18,2002,JUMO,2,-5.15
2002-07-24,2002,JUMO,2,-4.475
2002-08-21,2002,JUMO,2,-4.525
2002-09-18,2002,JUMO,2,-1.225
2002-10-16,2002,JUMO,2,-1.575
2002-11-06,2002,JUMO,2,-1.6
2002-12-11,2002,JUMO,2,-1.8
2003-01-08,2003,JUMO,2,-1.9
2003-02-05,2003,JUMO,2,-1.525
2003-03-12,2003,JUMO,2,-0.85
2003-04-10,2003,JUMO,2,-0.775
2003-04-30,2003,JUMO,2,-0.975
2003-05-29,2003,JUMO,2,-1.05
2003-06-29,2003,JUMO,2,-1.475
2003-07-23,2003,JUMO,2,-2.55
2003-08-21,2003,JUMO,2,-1.625
2003-09-17,2003,JUMO,2,-1.125
2003-10-21,2003,JUMO,2,-1.025
2003-11-19,2003,JUMO,2,-1.65
2003-12-18,2003,JUMO,2,-2.175
2004-01-22,2004,JUMO,2,-2.6
2004-02-20,2004,JUMO,2,-2.575
2004-03-17,2004,JUMO,2,-0.6
2004-04-14,2004,JUMO,2,-0.6
2004-05-14,2004,JUMO,2,-0.65
2004-05-25,2004,JUMO,2,-1.025
2004-06-28,2004,JUMO,2,-1.175
2004-09-22,2004,JUMO,2,-1.175
2004-10-14,2004,JUMO,2,-0.4
2004-11-17,2004,JUMO,2,-0.825
2004-12-16,2004,JUMO,2,-1.125
2005-02-03,2005,JUMO,2,-2.225
2005-03-02,2005,JUMO,2,-0.975
2005-04-07,2005,JUMO,2,-0.55
2005-05-19,2005,JUMO,2,-1.175
2005-06-22,2005,JUMO,2,-0.95
2005-07-27,2005,JUMO,2,-1.325
